Date,Open,High,Low,Close,Adj Close,Volume
2020-11-12,239.60000610351562,240.3000030517578,236.4600067138672,238.00999450683594,236.68528747558594,1882600
2020-11-13,239.75999450683594,243.72000122070312,237.69000244140625,243.08999633789062,241.7370147705078,1476400
2020-11-16,244.75999450683594,245.58999633789062,238.85000610351562,239.08999633789062,237.75927734375,1433300
2020-11-17,239.0,240.8699951171875,238.30999755859375,239.17999267578125,237.84877014160156,1354200
2020-11-18,238.30999755859375,242.30999755859375,237.2100067138672,237.6999969482422,236.37701416015625,1617400
2020-11-19,237.08999633789062,238.8800048828125,233.3699951171875,238.42999267578125,237.1029510498047,1636400
2020-11-20,238.19000244140625,238.42999267578125,232.5,232.66000366210938,231.3650665283203,1965500
2020-11-23,233.55999755859375,233.61000061035156,228.6199951171875,228.91000366210938,227.6359405517578,2848400
2020-11-24,231.0399932861328,231.85000610351562,227.38999938964844,228.05999755859375,226.79066467285156,2635100
2020-11-25,229.2899932861328,233.3699951171875,228.64999389648438,233.0,231.7031707763672,2478800
2020-11-27,233.9600067138672,234.08999633789062,230.5800018310547,234.08999633789062,232.787109375,937400
2020-11-30,234.0,234.13999938964844,228.75,231.1999969482422,229.91319274902344,3547200
2020-12-01,232.0,236.38999938964844,231.72000122070312,235.8300018310547,234.51742553710938,2471000
2020-12-02,234.7899932861328,235.8300018310547,228.58999633789062,228.89999389648438,227.62599182128906,2755100
2020-12-03,229.52000427246094,230.75999450683594,225.7899932861328,226.22000122070312,224.96090698242188,3702600
2020-12-04,226.75,228.89999389648438,224.44000244140625,228.6699981689453,227.39727783203125,3298400
2020-12-07,227.66000366210938,228.7899932861328,223.35000610351562,224.27000427246094,223.0217742919922,2554500
2020-12-08,223.27000427246094,224.77000427246094,222.17999267578125,223.61000061035156,222.36544799804688,2607300
2020-12-09,222.72000122070312,223.0399932861328,216.22000122070312,219.44000244140625,218.21865844726562,3413500
2020-12-10,220.2100067138672,221.92999267578125,218.47999572753906,219.41000366210938,218.18881225585938,3028100
2020-12-11,218.0,220.1699981689453,215.41000366210938,219.82000732421875,218.59654235839844,2893400
2020-12-14,220.97000122070312,222.42999267578125,216.39999389648438,216.72000122070312,215.5137939453125,2501500
2020-12-15,217.0800018310547,218.36000061035156,215.5500030517578,217.25,216.04083251953125,2181200
2020-12-16,218.27999877929688,219.8000030517578,215.67999267578125,219.6199951171875,218.39764404296875,2347600
2020-12-17,221.10000610351562,223.60000610351562,220.1300048828125,222.7100067138672,221.470458984375,2484400
2020-12-18,222.17999267578125,223.22999572753906,219.83999633789062,221.52000427246094,220.28707885742188,4538000
2020-12-21,218.36000061035156,220.5,217.13999938964844,219.77999877929688,218.5567626953125,1963400
